seq1,seq2,similarity
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KF156338.1:177377-177473 Synechococcus phage S-MbCM7, complete genome FORWARD",0.8869020741328164
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MH412654.1:c66840-66744 Synechococcus phage S-T4, complete genome FORWARD",0.7283607683009093
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MH629685.1:79337-79432 Synechococcus virus S-PRM1, complete genome FORWARD",0.8769660679223754
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071101.1:169216-169312 Prochlorococcus phage P-HM1, complete genome FORWARD",0.8671514679442149
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071105.1:181614-181709 Prochlorococcus phage Syn1, complete genome FORWARD",0.8849531455235085
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OQ504981.1:61922-62016 Synechococcus phage S-RS29, complete genome FORWARD",0.9118804857110022
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,HQ634177.1:c104331-104238 Synechococcus phage S-CAM1 genomic sequence FORWARD,0.9353436757693875
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OP917831.1:118682-118778 Synechococcus phage S-M1, complete genome FORWARD",0.8560733186441037
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,FM207411.1:c8702-8606 Synechococcus phage S-RSM4 complete genome FORWARD,0.8378087873560077
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KJ019156.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome FORWARD",0.903322570710344
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KU686210.1:169171-169266 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome FORWARD",0.7389839356612907
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KP211958.1:175932-176025 Cyanophage P-TIM40, complete genome FORWARD",0.7151190198098561
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KJ019071.1:159787-159880 Synechococcus phage ACG-2014g isolate Syn7803US105, complete genome FORWARD",0.8862388964199884
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,HQ316583.1:154778-154876 Cyanophage S-SSM4 genomic sequence FORWARD,0.8245695432247315
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KU686209.1:159627-159718 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome FORWARD",0.8465495139040554
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MN018232.1:c188281-188188 Synechococcus phage S-B43, complete genome FORWARD",0.9074982384484196
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KJ019059.1:174288-174383 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome FORWARD",0.8662554136664039
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"OQ504979.1:26117-26211 Synechococcus phage S-8S29, complete genome FORWARD",0.9118804857110022
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,HQ634175.1:c68532-68436 Cyanophage P-RSM1 genomic sequence FORWARD,0.936933469908988
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"KF156339.1:162719-162812 Synechococcus phage S-MbCM25, complete genome FORWARD",0.850139624313298
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"GU071108.1:162206-162301 Prochlorococcus phage Syn33, complete genome FORWARD",0.9585900436372025
HQ633071.1:c27896-27801 Synechococcus phage S-SKS1 genomic sequence FORWARD,"MK867354.2:137169-137262 Synechococcus phage S-SCSM1, complete genome FORWARD",0.886600926463275
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",1.0
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",0.8390290628148361
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD",0.8473977708437921
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071094.1:163608-163699 Synechococcus phage S-SM1, complete genome FORWARD",0.7574318501267309
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KU686201.1:180677-180772 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome FORWARD",0.779331686802879
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071097.1:164585-164681 Synechococcus phage S-SSM5, complete genome FORWARD",0.8815267508772778
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OQ319121.1:c49325-49228 Synechococcus phage S-BM3, complete genome FORWARD",0.6461801514271397
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",MH512890.1:168371-168467 Cyanophage S-TIM4 FORWARD,0.7584920764147394
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KU686206.1:160385-160480 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome FORWARD",0.8346622221756407
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MK799832.1:176018-176111 Synechococcus phage S-B05, complete genome FORWARD",0.7771325306018572
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MW147367.1:121035-121131 Synechococcus phage S-H9-2, complete genome FORWARD",0.9701821262684418
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","JQ245707.2:8125-8221 Cyanophage S-TIM5, complete genome FORWARD",0.7928361988353869
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OQ504980.1:125927-126021 Synechococcus phage S-MS29, complete genome FORWARD",0.890666230579727
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OQ504982.1:c63606-63510 Synechococcus phage S-8S53, partial genome FORWARD",0.7929918208579471
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MF351863.1:195680-195775 Synechococcus phage Bellamy, complete genome FORWARD",0.8743214700502737
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071096.1:167689-167782 Synechococcus phage S-ShM2, complete genome FORWARD",0.7759423642642513
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MW117965.1:14235-14331 Synechococcus phage S-H38, complete genome FORWARD",0.9001962068609157
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071106.1:166909-167003 Synechococcus phage Syn19, complete genome FORWARD",0.804915096909896
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",HQ317383.1:150656-150750 Synechococcus phage S-IOM18 genomic sequence FORWARD,0.8954368963188254
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","JN371769.1:162313-162408 Synechococcus phage metaG-MbCM1, complete genome FORWARD",0.9059741434463526
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MW015081.1:207241-207338 Synechococcus phage S-SRM01, complete genome FORWARD",0.7661684498552009
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OP053362.1:7937-8033 Cyanophage S-TIM54, complete genome FORWARD",0.630278534110408
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","HQ634178.1:157403-157496 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome FORWARD",0.75579826625873
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KU594606.1:183014-183111 Cyanophage S-RIM32 isolate RW_108_0702, complete genome FORWARD",0.9552932560145951
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071095.1:179573-179668 Synechococcus phage S-SM2, complete genome FORWARD",0.9072178294945612
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KM359505.1:189481-189576 Prochlorococcus phage P-TIM68, complete genome FORWARD",0.8490322178989108
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KJ019054.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C85, complete genome FORWARD",0.7017637380828998
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KF156338.1:177377-177473 Synechococcus phage S-MbCM7, complete genome FORWARD",0.9055268869042612
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MH412654.1:c66840-66744 Synechococcus phage S-T4, complete genome FORWARD",0.8140603523730668
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MH629685.1:79337-79432 Synechococcus virus S-PRM1, complete genome FORWARD",0.8853750998853772
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071101.1:169216-169312 Prochlorococcus phage P-HM1, complete genome FORWARD",0.9005985195341486
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071105.1:181614-181709 Prochlorococcus phage Syn1, complete genome FORWARD",0.6355808854812356
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OQ504981.1:61922-62016 Synechococcus phage S-RS29, complete genome FORWARD",0.8827234383444642
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",HQ634177.1:c104331-104238 Synechococcus phage S-CAM1 genomic sequence FORWARD,0.801654335126927
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OP917831.1:118682-118778 Synechococcus phage S-M1, complete genome FORWARD",0.9692541509515593
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",FM207411.1:c8702-8606 Synechococcus phage S-RSM4 complete genome FORWARD,0.9505469763540102
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KJ019156.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome FORWARD",0.7017637380828998
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KU686210.1:169171-169266 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome FORWARD",0.9351316409764869
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KP211958.1:175932-176025 Cyanophage P-TIM40, complete genome FORWARD",0.6633972424079903
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KJ019071.1:159787-159880 Synechococcus phage ACG-2014g isolate Syn7803US105, complete genome FORWARD",0.75579826625873
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",HQ316583.1:154778-154876 Cyanophage S-SSM4 genomic sequence FORWARD,0.8832143130237778
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KU686209.1:159627-159718 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome FORWARD",0.664721524200515
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MN018232.1:c188281-188188 Synechococcus phage S-B43, complete genome FORWARD",0.7771325306018572
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KJ019059.1:174288-174383 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome FORWARD",0.7585289109102968
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","OQ504979.1:26117-26211 Synechococcus phage S-8S29, complete genome FORWARD",0.8827234383444642
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD",HQ634175.1:c68532-68436 Cyanophage P-RSM1 genomic sequence FORWARD,0.8884061556354734
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","KF156339.1:162719-162812 Synechococcus phage S-MbCM25, complete genome FORWARD",0.8489890511840784
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","GU071108.1:162206-162301 Prochlorococcus phage Syn33, complete genome FORWARD",0.8134275667770758
"DQ149023.2:165875-165970 Synechococcus cyanophage syn9, complete genome FORWARD","MK867354.2:137169-137262 Synechococcus phage S-SCSM1, complete genome FORWARD",0.8519099692853019
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",1.0
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD",0.8451821557569488
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071094.1:163608-163699 Synechococcus phage S-SM1, complete genome FORWARD",0.8421120917292756
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KU686201.1:180677-180772 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome FORWARD",0.7567008753577841
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071097.1:164585-164681 Synechococcus phage S-SSM5, complete genome FORWARD",0.8755571880883927
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OQ319121.1:c49325-49228 Synechococcus phage S-BM3, complete genome FORWARD",0.8679890215422107
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",MH512890.1:168371-168467 Cyanophage S-TIM4 FORWARD,0.8068137304635139
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KU686206.1:160385-160480 Synechococcus phage S-CAM9 isolate 1109NB16, complete genome FORWARD",0.8476084164839423
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MK799832.1:176018-176111 Synechococcus phage S-B05, complete genome FORWARD",0.8096032045796725
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MW147367.1:121035-121131 Synechococcus phage S-H9-2, complete genome FORWARD",0.8765987072576872
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","JQ245707.2:8125-8221 Cyanophage S-TIM5, complete genome FORWARD",0.8582451326218609
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OQ504980.1:125927-126021 Synechococcus phage S-MS29, complete genome FORWARD",0.8839098807727497
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OQ504982.1:c63606-63510 Synechococcus phage S-8S53, partial genome FORWARD",0.8886661346877386
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MF351863.1:195680-195775 Synechococcus phage Bellamy, complete genome FORWARD",0.8244636355617694
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071096.1:167689-167782 Synechococcus phage S-ShM2, complete genome FORWARD",0.9699461329533285
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MW117965.1:14235-14331 Synechococcus phage S-H38, complete genome FORWARD",0.8005410496614249
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071106.1:166909-167003 Synechococcus phage Syn19, complete genome FORWARD",0.8796982201747292
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",HQ317383.1:150656-150750 Synechococcus phage S-IOM18 genomic sequence FORWARD,0.8283374295244487
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","JN371769.1:162313-162408 Synechococcus phage metaG-MbCM1, complete genome FORWARD",0.6887926744847912
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MW015081.1:207241-207338 Synechococcus phage S-SRM01, complete genome FORWARD",0.8922820518062899
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OP053362.1:7937-8033 Cyanophage S-TIM54, complete genome FORWARD",0.8368020592445933
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","HQ634178.1:157403-157496 Synechococcus phage S-CAM8 strain S-CAM8 06008BI06, complete genome FORWARD",0.8706292424591663
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KU594606.1:183014-183111 Cyanophage S-RIM32 isolate RW_108_0702, complete genome FORWARD",0.8531394819471703
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071095.1:179573-179668 Synechococcus phage S-SM2, complete genome FORWARD",0.7662411152078947
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KM359505.1:189481-189576 Prochlorococcus phage P-TIM68, complete genome FORWARD",0.8533074592550187
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KJ019054.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C85, complete genome FORWARD",0.8231353533674239
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KF156338.1:177377-177473 Synechococcus phage S-MbCM7, complete genome FORWARD",0.8665616770005381
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MH412654.1:c66840-66744 Synechococcus phage S-T4, complete genome FORWARD",0.7473358056174887
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MH629685.1:79337-79432 Synechococcus virus S-PRM1, complete genome FORWARD",0.8938737658670588
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071101.1:169216-169312 Prochlorococcus phage P-HM1, complete genome FORWARD",0.8812836947437032
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071105.1:181614-181709 Prochlorococcus phage Syn1, complete genome FORWARD",0.8511259644990131
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OQ504981.1:61922-62016 Synechococcus phage S-RS29, complete genome FORWARD",0.831827157848566
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",HQ634177.1:c104331-104238 Synechococcus phage S-CAM1 genomic sequence FORWARD,0.8841240588668219
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OP917831.1:118682-118778 Synechococcus phage S-M1, complete genome FORWARD",0.8856361164430334
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",FM207411.1:c8702-8606 Synechococcus phage S-RSM4 complete genome FORWARD,0.870099261499743
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KJ019156.1:177668-177763 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome FORWARD",0.8231353533674239
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KU686210.1:169171-169266 Synechococcus phage S-WAM1 isolate 0810PA09, complete genome FORWARD",0.7589890261308496
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KP211958.1:175932-176025 Cyanophage P-TIM40, complete genome FORWARD",0.842029468041867
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KJ019071.1:159787-159880 Synechococcus phage ACG-2014g isolate Syn7803US105, complete genome FORWARD",0.8706292424591663
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",HQ316583.1:154778-154876 Cyanophage S-SSM4 genomic sequence FORWARD,0.825480293723444
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KU686209.1:159627-159718 Synechococcus phage S-CAM22 isolate 1209TA19, complete genome FORWARD",0.833105828437372
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MN018232.1:c188281-188188 Synechococcus phage S-B43, complete genome FORWARD",0.8096032045796725
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KJ019059.1:174288-174383 Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome FORWARD",0.8565777243886902
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","OQ504979.1:26117-26211 Synechococcus phage S-8S29, complete genome FORWARD",0.831827157848566
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD",HQ634175.1:c68532-68436 Cyanophage P-RSM1 genomic sequence FORWARD,0.8359001370006983
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","KF156339.1:162719-162812 Synechococcus phage S-MbCM25, complete genome FORWARD",0.893240758016679
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","GU071108.1:162206-162301 Prochlorococcus phage Syn33, complete genome FORWARD",0.9427467520456431
"HQ317292.1:165583-165678 Synechococcus phage S-RIM2 R1_1999, complete genome FORWARD","MK867354.2:137169-137262 Synechococcus phage S-SCSM1, complete genome FORWARD",0.7761965062190656
"KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD","KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD",1.0
"KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD","GU071094.1:163608-163699 Synechococcus phage S-SM1, complete genome FORWARD",0.8724160145602031
"KJ019136.1:157499-157594 Synechococcus phage ACG-2014d isolate Syn7803C102, complete genome FORWARD","KU686201.1:180677-180772 Synechococcus phage S-CAM4 isolate 0809SB33, complete genome FORWARD",0.8410060342311296
